"id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","degs","z9_1","z10_3","z10_1","z9_2","z11_2","z11_3","z10_2","z11_1","z1_3","z9_3","z1_1","z1_2","mean"
"z1_1_k97_101646_35",82.9245053967368,-1.47214492323128,0.363431427697193,-4.05068139692602,5.10687025110324e-05,0.017828564852043,"MV_vs_Control",3.114842872,3.028441486,2.600356403,1.166065808,1.038801965,1.158717429,1.719179911,1.507157824,1.865371488,2.53869473,2.130445719,1.807792394,1.97298900241667
"z1_1_k97_101646_9",66.9336164886681,-1.01235497974519,0.509755444173331,-1.98596207518082,0.0470375351391007,0.5778110970021,"MV_vs_Control",3.262378567,2.052396013,4.32702618,0.823178091,2.464011794,1.963177299,2.912750677,1.823948959,3.49665516,3.927208186,2.650759591,2.532769402,2.68635499325
"z1_1_k97_101646_93",114.478327505001,-1.41136615518128,0.406849697348991,-3.46901119597154,0.000522377684382648,0.0562854388617488,"MV_vs_Control",3.983159316,2.45765726,3.14026091,0.700957073,1.498691919,1.662197112,2.524571991,2.57238632,3.43556627,3.682510469,1.981043699,2.037596511,2.47304990416667
"z1_1_k97_101704_2",131.693663023045,1.34905813251495,0.481480836198509,2.8018937226377,0.00508036068028303,0.205305301424371,"MV_vs_Control",1.912486976,0.854115138,0.723732007,1.009679378,4.182598145,4.104476687,1.071801226,1.761785074,1.175314266,0.774155297,1.245187268,1.535238357,1.69588081825
"z1_1_k97_101754_2",82.5685978115759,2.3490628455013,0.659191946807914,3.56354906469421,0.000365874269139812,0.0460684504597206,"MV_vs_Control",0.7879899,0.460323106,0.912125015,0.437424174,5.909025207,5.819516484,0.562833054,2.511156805,1.234381342,0.85823165,0.43592197,0.62598823,1.71290974475
"z1_1_k97_102021_1",51.4060340556674,2.07838187510297,0.63911286815408,3.25197938997201,0.00114604331671527,0.0895145988168024,"MV_vs_Control",1.50645128,1.029670105,0.585080191,0.680205055,6.908033066,6.4888176,0.687671964,1.582515715,1.055720885,0.618116978,0.326224501,0.340699336,1.81743388966667
"z1_1_k97_102529_6",199.866023752453,-1.04595848774218,0.48733727393189,-2.14627229167856,0.0318512608931139,0.497714609025681,"MV_vs_Control",3.916773327,4.085367564,8.954977363,3.65100063,2.176030416,3.187262963,1.273912314,2.111904901,2.137834792,3.853573033,1.328199753,0.970993107,3.13731918025
"z1_1_k97_102529_6",199.866023752453,-1.72432516129729,0.489472425928854,-3.52282390172461,0.000426974956670537,1,"NHQ_vs_Control",3.916773327,4.085367564,8.954977363,3.65100063,2.176030416,3.187262963,1.273912314,2.111904901,2.137834792,3.853573033,1.328199753,0.970993107,3.13731918025
"z1_1_k97_102529_6",199.866023752453,-1.61433805618861,0.488230350995924,-3.30650901341053,0.000944663112499407,1,"NR_vs_Control",3.916773327,4.085367564,8.954977363,3.65100063,2.176030416,3.187262963,1.273912314,2.111904901,2.137834792,3.853573033,1.328199753,0.970993107,3.13731918025
"z1_1_k97_102529_9",194.159682726606,-1.59037415843133,0.498205414897097,-3.19220568640309,0.00141190750890905,1,"NR_vs_Control",2.830915156,3.939006443,7.985770139,2.168438932,2.627216155,2.507373081,0.876897136,2.306254925,2.054758769,3.349862144,0.950836512,1.137842141,2.72793096108333
