"gene_id","tSNE1","tSNE2","DGI_label","DGI_sub_label","Kmeans_label","Kmeans_subcel_label","HC_label"
"g_24765",-49.8979222674016,-12.3406406078862,"Cluster 2","Cluster 4","Cluster 7","Cluster 1","Cluster 2"
"g_24766",-4.24912094097268,-26.5477943504098,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24768",12.6160412272293,16.9764947663505,"Cluster 4","Cluster 5","Cluster 6","Cluster 2","Cluster 1"
"g_24769",2.87303952262828,2.66524066706308,"Cluster 1","Cluster 3","Cluster 4","Cluster 2","Cluster 1"
"g_24770",28.3393943955055,15.5379848365553,"Cluster 4","Cluster 5","Cluster 4","Cluster 2","Cluster 1"
"g_24772",36.1921080629245,-7.35889895027716,"Cluster 1","Cluster 3","Cluster 5","Cluster 6","Cluster 1"
"g_24773",-3.33285961585333,-35.7413835596594,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24775",9.16503573164407,-11.2217060511155,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24777",43.6374553828793,16.2106850040337,"Cluster 4","Cluster 5","Cluster 5","Cluster 6","Cluster 1"
"g_24778",14.4076648208356,-13.3788922624566,"Cluster 1","Cluster 3","Cluster 4","Cluster 6","Cluster 1"
"g_24781",-33.4074147420385,10.1698762377165,"Cluster 3","Cluster 7","Cluster 2","Cluster 7","Cluster 1"
"g_24783",30.9082254498787,1.49879936330523,"Cluster 4","Cluster 5","Cluster 5","Cluster 6","Cluster 1"
"g_24785",20.2630639534286,-19.126306781136,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24786",-36.3885231730945,7.3913207406013,"Cluster 3","Cluster 7","Cluster 2","Cluster 7","Cluster 1"
"g_24787",41.3023062443187,-31.7716222049046,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24788",24.9200263822894,27.3384493691916,"Cluster 4","Cluster 5","Cluster 6","Cluster 6","Cluster 1"
"g_24790",-47.6646590734768,-20.9784291735847,"Cluster 2","Cluster 4","Cluster 7","Cluster 1","Cluster 3"
"g_24794",-34.9307377512291,-6.16188224423401,"Cluster 5","Cluster 6","Cluster 1","Cluster 4","Cluster 3"
"g_24797",-7.61394005265765,3.78190245057239,"Cluster 3","Cluster 7","Cluster 6","Cluster 2","Cluster 1"
"g_24798",8.81916821484878,-3.30254665104827,"Cluster 1","Cluster 3","Cluster 4","Cluster 6","Cluster 1"
"g_24799",17.5619649960189,5.55229375476212,"Cluster 4","Cluster 5","Cluster 4","Cluster 5","Cluster 1"
"g_24800",6.59474685806431,-38.5195030255581,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
"g_24807",24.421318128069,4.49268295163976,"Cluster 1","Cluster 3","Cluster 4","Cluster 2","Cluster 1"
"g_24809",-4.12513576377635,-13.1436500742711,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24813",5.8671616719325,17.7218243375078,"Cluster 1","Cluster 3","Cluster 6","Cluster 2","Cluster 1"
"g_24815",2.333659654656,-4.18952626493255,"Cluster 1","Cluster 3","Cluster 4","Cluster 2","Cluster 1"
"g_24817",-14.8863466037068,11.8659458690392,"Cluster 7","Cluster 1","Cluster 3","Cluster 4","Cluster 3"
"g_24818",-10.0874891841358,-32.3198591474801,"Cluster 1","Cluster 3","Cluster 4","Cluster 5","Cluster 1"
"g_24820",35.2069036006411,5.86992700145638,"Cluster 4","Cluster 5","Cluster 5","Cluster 5","Cluster 1"
"g_24821",40.2994486961178,6.58028206935659,"Cluster 4","Cluster 5","Cluster 5","Cluster 5","Cluster 1"
"g_24823",15.477309148272,10.8009659612263,"Cluster 4","Cluster 5","Cluster 4","Cluster 2","Cluster 1"
"g_24828",-4.79783161029344,-18.2432510348779,"Cluster 1","Cluster 3","Cluster 4","Cluster 6","Cluster 1"
"g_24829",4.61730777774219,-41.4795227233794,"Cluster 1","Cluster 3","Cluster 5","Cluster 5","Cluster 1"
