gene_id,tSNE1,tSNE2,Blue1,Blue2,Blue3,Dark1,Dark2,Dark3,Yellow1,Yellow2,Yellow3
g_27363,-11.2707123,-11.57063596,0.681409132,0.675669846,0.652226415,0,0,0,0.092722048,0,0
g_27364,-11.83001158,-17.30203708,0.711898295,0.553579278,0.605622299,0,0,0,0,0,0
g_27365,-16.37823412,-33.02947514,1.054230485,0.431948221,0.394003321,0.089052634,0.177694606,0.088539352,0.118107584,0.097038545,0.014115036
g_27369,-7.268586226,34.4871131,1.227480231,1.485997655,1.445788607,0.509093061,0.545955352,0.659091874,0.80111223,0.905713761,0.518600132
g_27370,-34.92164696,-11.06932105,0.904345832,0.900535515,0.916932041,0.062145214,0.00827092,0.014412162,0.177797575,0.397046006,0.046742482
g_27372,-7.119051196,-12.18147852,0.587559328,0.644585299,0.746456164,0.081734975,0,0,0,0,0
g_27373,25.76223906,-23.19368117,0.781563166,0.580094806,0.389253289,0.973802657,0.958103976,0.976091389,0.848425174,0.889932344,1.153483669
g_27376,-22.80518696,-24.6184759,0.745245898,0.499299343,0.558897603,0.016395628,0,0,0.106847794,0.080499138,0
g_27378,-36.17062548,-27.53771896,0.710031514,0.453201799,0.555895762,0,0,0.027960045,0.38591321,0.312534888,0
g_27382,-9.434331475,18.35592878,1.078986132,1.385526771,1.182081271,0.038112062,0.094649631,0.15250666,0.154664944,0.152857753,0.170935523
g_27383,-48.33789095,5.588981989,1.271347158,1.087039503,1.115227398,0,0.033714796,0.030936342,0.79457636,0.869934356,0.154791157
g_27384,8.357219823,16.07122766,0.784320959,1.00953987,0.866219265,0.215846334,0.560703655,0.257016071,0.40010365,0.533116183,0.404369937
g_27385,7.794887034,12.14889333,0.882056694,0.917434714,0.866322731,0.415749873,0.443332782,0.557938395,0.252277634,0.266123227,0.25350883
g_27391,-14.8031942,8.763423792,0.843595328,1.069139816,1.041357545,0.036113264,0,0.160167993,0.06379406,0,0
g_27393,-11.48847337,-18.67435602,0.710610724,0.471856953,0.558790623,0,0,0.041409662,0.028759894,0.02053654,0.050083035
g_27397,9.765872218,-25.07388793,0.425720516,0.392888387,0.414454725,1.404333374,1.511654621,1.568750009,1.504696637,1.361052644,1.447708972
g_27399,-2.594255126,31.83952494,1.115174834,1.41456935,1.392035866,0.640367631,0.575193967,0.580025934,0.493818025,0.627088496,0.397953558
g_27400,0.059227205,24.19228404,1.149886182,1.291164044,1.260283973,0.595597839,0.649112396,0.536044055,0.149090961,0.405046024,0.275079285
g_27401,-12.1849514,-10.54296628,0.706849842,0.71100021,0.695858719,0.065210613,0.032319728,0.031251686,0.008432382,0.048560655,0.016309469
g_27402,-25.68802805,13.54489603,1.363047783,0.941008572,1.100844701,0.083532718,0,0,0.073495465,0.206318993,0.07346723
