"id","tSNE1","tSNE2","Dark1","Dark2","Dark3","Yellow1","Yellow2","Yellow3","degs","X.","Topology","Signalp","tmhmm"
"g_46759",-5.12532016480515,-4.88971087857261,0.0461008817025614,0.0266811364321888,0.0658992498378661,0.59302108872454,0.665484741446401,0.0767842139363024,"Yellow_vs_Dark","N","Topology=i17-39o",0,1
"g_46767",6.93306271236287,-12.6109020997869,0,0.0330516309240338,0.0798806205595932,0.489403943294483,0.16090020991518,0.301246437519559,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46777",-3.13019460956134,-11.9240261528029,0.00978774705103585,0,0.00634964428873182,0.555288567484903,0.519511538933268,0.0676740579015694,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46780",-30.8435646242743,-3.35679231015343,0.185478408324637,0.14528686175727,0.320402008180784,0.968892253284807,0.346008532361785,0.639853691338325,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46786",3.17591008040692,15.3387259773695,0.251159381080726,0.0148526428244298,0.352426040772573,1.20096783473386,0.952294049972282,0.629292752052807,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46792",2.07154452678967,-20.2163175308783,0.0429332740935934,0,0,0.562597239847261,0.320334716564669,0.0719578182001739,"Yellow_vs_Dark","N","Topology=o55-77i89-111o",0,1
"g_46812",38.9012503907005,24.9330513447982,0.696812115056177,0.783177529492097,0.703622605566227,0.49431589332529,0.328898000571129,0.225152855842993,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46824",-42.8630463541745,-9.65663721298602,0.403781073143966,0.360326772604061,0.341083781697979,0.625243390590175,0.670690684230575,0.941143965453573,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46827",-28.2963192424227,5.69393442291405,0.205395205807816,0.248226653558442,0.0730544904655334,0.53595442915678,0.33629679282115,0.56970798883577,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46831",13.7089319888188,-16.6558615370831,0,0.044244512271124,0,0.36875793650926,0.177006943928965,0.044255886765745,"Yellow_vs_Dark","N","Topology=i66-88o",0,1
"g_46846",-47.9684555308865,7.21188720435211,0.130164843347802,0.0651687517057452,0.243763334928398,0.526859731027684,0.507857894802059,0.808194627474388,"Yellow_vs_Dark","N","Topology=i16-35o50-72i85-107o",0,1
"g_46847",-16.3393670357835,-6.08012089107537,0.0953761589130539,0.0666840240352934,0.0411952336968092,0.543552665414583,0.596691420740755,0.215766273157166,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46856",-49.1745793169782,-8.43060150845679,0.420850167023798,0.0373288703186988,0.160609871421139,0.73010689914701,0.704099273934265,0.785024226259567,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46858",-34.7653816036076,3.00949307824211,0.192060108546745,0.233814149657849,0.385514937047876,0.515123906201932,0.365003064088984,0.583842707716684,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46864",-11.4014894253222,3.8451896327183,0.0358982032548905,0.0187666361804423,0.0805034674914635,0.696648325229768,0.677372406872377,0.18865714064647,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46870",-49.7089686912416,-5.61219113632567,0.330029232245036,0.116920071339216,0.34423503455164,0.915051468398655,0.460749345763532,0.994562259665514,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46875",-6.10836469612149,15.3450735478995,0.110099590066144,0.065286849990966,0.0478579494497839,0.805690574178618,0.915788679180144,0.209103848709855,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46903",3.04582816857714,-29.6840637978743,0.0315474162546983,0,0.0290435147276105,0.39384289181666,0.367630762951455,0.120868953817673,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46904",4.2671037696054,-48.6300564800987,0,0,0,0.292637462564675,0.392774486365325,0.107708104635143,"Yellow_vs_Dark","N","Topology=i7-29o66-88i",0,1
"g_46911",15.2054929079984,-15.1603518671801,0,0,0,0.349434311534323,0.131917499811296,0,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46913",-43.3759725572124,-8.08935374691523,0.408679804964318,0.29622233511948,0.269813577393864,0.595759474387465,0.722085773486505,0.867468548549842,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46921",58.3641131798018,-0.189844129998689,1.9164688301192,2.26471211844772,1.15044203806341,0.849069810418147,1.06701748701766,1.2679144876588,"Yellow_vs_Dark","N","Topology=i21-43o",0,1
"g_46933",21.6299478986136,51.8793867698861,0.164132678120583,0.173580160968258,0.600323581107558,0.262654187630639,0.107385687642973,0.0445323130405101,"Yellow_vs_Dark","N","Topology=i37-59o79-101i",0,1
"g_46942",14.2927890040356,11.8251248643061,0.222347814554166,0.203094108425225,0.130836615472223,1.45502221403816,1.40637031252846,0.508865578134711,"Yellow_vs_Dark","N","Topology=i",0,1
"g_46943",-36.0275092019118,4.27944360815212,0.190954114288358,0.189239827335104,0.323411552907934,0.567636186294549,0.454534647745624,0.707686483319112,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46962",-39.4284770268723,19.7723981051898,0.180456490066515,0.151528582380493,0.144299846098844,0.396418532002414,0.24451264003247,0.927608338431107,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46971",-55.5393062920786,3.43693399251062,0.208834891831419,0.0867426953563826,0.11597144173976,0.528386486086088,0.829610372993948,0.965255102318691,"Yellow_vs_Dark","N","Topology=o",0,0
"g_46976",35.8310011801426,21.5975889798301,0.669468996486633,0.828661314111434,0.39392460393688,0.4575967122472,0.277281364408951,0.367651997732255,"Yellow_vs_Dark","N","Topology=o",0,0
